CVCL_ID,Cellosaurus_Name,In_JSON,JSON_Name
CVCL_0131,A172,True,A172
CVCL_0480,PANC1,True,PANC1
CVCL_0293,HEC1A,True,HEC1A
CVCL_0397,NCIH82,True,NCIH82
CVCL_1097,SNU283,True,SNU283
CVCL_C466,COLO794,True,COLO794
CVCL_0366,RT4,True,RT4
CVCL_0099,COLO205,False,
CVCL_1635,ZR7530,True,ZR7530
CVCL_1056,TGBC18TKB,True,TGBC18TKB
CVCL_0459,COLO320,True,COLO320
CVCL_1547,WM983B,True,WM983B
CVCL_1055,93T449,True,93T449
CVCL_0399,NCIH23,True,NCIH23
CVCL_1098,SNU1196,True,SNU1196
CVCL_0504,SW837,True,SW837
CVCL_1666,OS252,True,OS252
CVCL_0371,HT29,True,HT29
CVCL_1717,PACADD119,True,PACADD119
CVCL_0152,RPMI8226,True,RPMI8226
CVCL_1731,TUHR14TKB,True,TUHR14TKB
CVCL_1125,SKN,True,SKN
CVCL_1094,SNU283,True,SNU283
CVCL_1550,PACADD137,True,PACADD137
CVCL_1478,PACADD188,True,PACADD188
CVCL_1517,PACADD161,True,PACADD161
CVCL_0028,HEK293,False,
CVCL_1285,NCIH2882,True,NCIH2882
CVCL_0320,AGS,True,AGS
CVCL_1381,PACADD159,True,PACADD159
CVCL_0334,LS123,True,LS123
CVCL_0179,U937,True,U937
CVCL_0023,A549,True,A549
CVCL_0546,SW480,True,SW480
CVCL_1495,PACADD165,True,PACADD165
CVCL_1119,MKN1,True,MKN1
CVCL_0428,SKBR3,True,SKBR3
CVCL_1724,PACADD135,True,PACADD135
CVCL_0359,HT144,True,HT144
CVCL_1716,PACADD131,False,
CVCL_0218,MOLT4,False,
CVCL_0332,LS174T,False,
CVCL_0292,HEC1B,True,HEC1B
CVCL_0069,HELA,True,HELA
CVCL_1693,PACADD137,True,PACADD137
CVCL_1239,KYSE140,True,KYSE140
CVCL_1531,PACADD161,True,PACADD161
CVCL_1577,PACADD165,True,PACADD165
CVCL_1715,PACADD135,True,PACADD135
CVCL_1571,PACADD159,True,PACADD159
